Observation id,Observation date,Description,Observation duration,Observation type,Source,Media duration (s),FPS,Subject,Behavior,Behavioral category,Modifier #1,Modifier #2,Behavior type,Time,Media file name,Image index,Image file path,Comment
mn220202-99 video 6 GH,2023-03-10 11:01:42,,1759.789,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220202-99/CATS Lars 99-20220202-113941-143-00006.mov,1760.929,28.459,,Tag position,,blowholes,directly facing rostrum,POINT,1.132,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220202-99/CATS Lars 99-20220202-113941-143-00006.mov,33,NA,
mn220202-99 video 6 GH,2023-03-10 11:01:42,,1759.789,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220202-99/CATS Lars 99-20220202-113941-143-00006.mov,1760.929,28.459,,breath,,see blowholes,,POINT,3.203,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220202-99/CATS Lars 99-20220202-113941-143-00006.mov,92,NA,
mn220202-99 video 6 GH,2023-03-10 11:01:42,,1759.789,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220202-99/CATS Lars 99-20220202-113941-143-00006.mov,1760.929,28.459,,mother present,,other,,START,4.973,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220202-99/CATS Lars 99-20220202-113941-143-00006.mov,143,NA,
mn220202-99 video 6 GH,2023-03-10 11:01:42,,1759.789,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220202-99/CATS Lars 99-20220202-113941-143-00006.mov,1760.929,28.459,,mother present,,other,,STOP,17.029,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220202-99/CATS Lars 99-20220202-113941-143-00006.mov,NA,NA,
mn220202-99 video 6 GH,2023-03-10 11:01:42,,1759.789,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220202-99/CATS Lars 99-20220202-113941-143-00006.mov,1760.929,28.459,,mother present,,ventral side,,START,17.030,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220202-99/CATS Lars 99-20220202-113941-143-00006.mov,486,NA,
mn220202-99 video 6 GH,2023-03-10 11:01:42,,1759.789,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220202-99/CATS Lars 99-20220202-113941-143-00006.mov,1760.929,28.459,,nursing,,definite mammary slits and milk visible,left,START,45.820,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220202-99/CATS Lars 99-20220202-113941-143-00006.mov,1305,NA,
mn220202-99 video 6 GH,2023-03-10 11:01:42,,1759.789,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220202-99/CATS Lars 99-20220202-113941-143-00006.mov,1760.929,28.459,,fish present,,no visible particulates,swimming close to the whale. unsure if feeding,POINT,46.655,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220202-99/CATS Lars 99-20220202-113941-143-00006.mov,1329,NA,
mn220202-99 video 6 GH,2023-03-10 11:01:42,,1759.789,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220202-99/CATS Lars 99-20220202-113941-143-00006.mov,1760.929,28.459,,nursing,,definite mammary slits and milk visible,left,STOP,57.543,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220202-99/CATS Lars 99-20220202-113941-143-00006.mov,1639,NA,
mn220202-99 video 6 GH,2023-03-10 11:01:42,,1759.789,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220202-99/CATS Lars 99-20220202-113941-143-00006.mov,1760.929,28.459,,breath,,see blowholes,,POINT,66.895,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220202-99/CATS Lars 99-20220202-113941-143-00006.mov,1905,NA,
mn220202-99 video 6 GH,2023-03-10 11:01:42,,1759.789,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220202-99/CATS Lars 99-20220202-113941-143-00006.mov,1760.929,28.459,,mother present,,ventral side,,STOP,72.237,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220202-99/CATS Lars 99-20220202-113941-143-00006.mov,NA,NA,
mn220202-99 video 6 GH,2023-03-10 11:01:42,,1759.789,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220202-99/CATS Lars 99-20220202-113941-143-00006.mov,1760.929,28.459,,mother present,,other,,START,72.238,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220202-99/CATS Lars 99-20220202-113941-143-00006.mov,2057,NA,
mn220202-99 video 6 GH,2023-03-10 11:01:42,,1759.789,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220202-99/CATS Lars 99-20220202-113941-143-00006.mov,1760.929,28.459,,breath,,see blowholes,,POINT,76.413,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220202-99/CATS Lars 99-20220202-113941-143-00006.mov,2177,NA,
mn220202-99 video 6 GH,2023-03-10 11:01:42,,1759.789,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220202-99/CATS Lars 99-20220202-113941-143-00006.mov,1760.929,28.459,,breath,,see blowholes,,POINT,84.863,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220202-99/CATS Lars 99-20220202-113941-143-00006.mov,2416,NA,
mn220202-99 video 6 GH,2023-03-10 11:01:42,,1759.789,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220202-99/CATS Lars 99-20220202-113941-143-00006.mov,1760.929,28.459,,breath,,see blowholes,,POINT,98.057,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220202-99/CATS Lars 99-20220202-113941-143-00006.mov,2792,NA,
mn220202-99 video 6 GH,2023-03-10 11:01:42,,1759.789,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220202-99/CATS Lars 99-20220202-113941-143-00006.mov,1760.929,28.459,,mother present,,other,,STOP,107.073,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220202-99/CATS Lars 99-20220202-113941-143-00006.mov,NA,NA,
mn220202-99 video 6 GH,2023-03-10 11:01:42,,1759.789,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220202-99/CATS Lars 99-20220202-113941-143-00006.mov,1760.929,28.459,,mother present,,ventral side,,START,107.074,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220202-99/CATS Lars 99-20220202-113941-143-00006.mov,3048,NA,
mn220202-99 video 6 GH,2023-03-10 11:01:42,,1759.789,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220202-99/CATS Lars 99-20220202-113941-143-00006.mov,1760.929,28.459,,nursing,,definite mammary slits and milk visible,right,START,116.691,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220202-99/CATS Lars 99-20220202-113941-143-00006.mov,3322,NA,
mn220202-99 video 6 GH,2023-03-10 11:01:42,,1759.789,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220202-99/CATS Lars 99-20220202-113941-143-00006.mov,1760.929,28.459,,fish present,,milk,swimming close to the whale. unsure if feeding,POINT,120.700,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220202-99/CATS Lars 99-20220202-113941-143-00006.mov,3436,NA,
mn220202-99 video 6 GH,2023-03-10 11:01:42,,1759.789,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220202-99/CATS Lars 99-20220202-113941-143-00006.mov,1760.929,28.459,,nursing,,definite mammary slits and milk visible,right,STOP,143.244,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220202-99/CATS Lars 99-20220202-113941-143-00006.mov,4078,NA,
mn220202-99 video 6 GH,2023-03-10 11:01:42,,1759.789,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220202-99/CATS Lars 99-20220202-113941-143-00006.mov,1760.929,28.459,,mother present,,ventral side,,STOP,153.597,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220202-99/CATS Lars 99-20220202-113941-143-00006.mov,4372,NA,
mn220202-99 video 6 GH,2023-03-10 11:01:42,,1759.789,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220202-99/CATS Lars 99-20220202-113941-143-00006.mov,1760.929,28.459,,breath,,see blowholes,,POINT,161.146,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220202-99/CATS Lars 99-20220202-113941-143-00006.mov,4587,NA,
