Observation id,Observation date,Description,Observation duration,Observation type,Source,Media duration (s),FPS,Subject,Behavior,Behavioral category,Modifier #1,Modifier #2,Behavior type,Time,Media file name,Image index,Image file path,Comment
mn220207-93 video 1 TR,4/3/2023 15:07,,574.6,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov;C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,573,30,,mother present,,other,,STOP,89.432,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,NA,NA,
mn220207-93 video 1 TR,4/3/2023 15:07,,574.6,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov;C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,573,30,,mother present,,ventral side,,START,89.433,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,2684,NA,
mn220207-93 video 1 TR,4/3/2023 15:07,,574.6,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov;C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,573,30,,mother present,,ventral side,,STOP,96.832,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,NA,NA,
mn220207-93 video 1 TR,4/3/2023 15:07,,574.6,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov;C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,573,30,,mother present,,other,,START,96.833,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,2906,NA,
mn220207-93 video 1 TR,4/3/2023 15:07,,574.6,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov;C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,573,30,,mother present,,other,,STOP,102.433,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,3074,NA,
mn220207-93 video 1 TR,4/3/2023 15:07,,574.6,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov;C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,573,30,,breath,,see blowholes,,POINT,112.9,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,3388,NA,
mn220207-93 video 1 TR,4/3/2023 15:07,,574.6,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov;C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,573,30,,mother present,,other,,START,115.2,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,3457,NA,
mn220207-93 video 1 TR,4/3/2023 15:07,,574.6,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov;C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,573,30,,breath,,see blowholes,,POINT,133.467,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,4005,NA,
mn220207-93 video 1 TR,4/3/2023 15:07,,574.6,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov;C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,573,30,,mother present,,other,,STOP,143.166,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,NA,NA,
mn220207-93 video 1 TR,4/3/2023 15:07,,574.6,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov;C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,573,30,,mother present,,ventral side,,START,143.167,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,4296,NA,
