Observation id,Observation date,Description,Observation duration,Observation type,Source,Media duration (s),FPS,Subject,Behavior,Behavioral category,Modifier #1,Modifier #2,Behavior type,Time,Media file name,Image index,Image file path,Comment
mn200219-98 video 36 GH,2023-04-18 14:57:32,,1793.608,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2020/mn200219-98/CATS LARS 98-20200219-183012-316-00036.mov,1794.343,28.446,,Tag position,,unsure,directly facing rostrum,POINT,0.736,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2020/mn200219-98/CATS LARS 98-20200219-183012-316-00036.mov,22,NA,
mn200219-98 video 36 GH,2023-04-18 14:57:32,,1793.608,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2020/mn200219-98/CATS LARS 98-20200219-183012-316-00036.mov,1794.343,28.446,,travel,,water column,,START,1.739,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2020/mn200219-98/CATS LARS 98-20200219-183012-316-00036.mov,50,NA,
mn200219-98 video 36 GH,2023-04-18 14:57:32,,1793.608,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2020/mn200219-98/CATS LARS 98-20200219-183012-316-00036.mov,1794.343,28.446,,breath,,cannot see blowholes,,POINT,8.285,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2020/mn200219-98/CATS LARS 98-20200219-183012-316-00036.mov,237,NA,
mn200219-98 video 36 GH,2023-04-18 14:57:32,,1793.608,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2020/mn200219-98/CATS LARS 98-20200219-183012-316-00036.mov,1794.343,28.446,,fish present,,no visible particulates,swimming close to the whale. unsure if feeding,POINT,28.726,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2020/mn200219-98/CATS LARS 98-20200219-183012-316-00036.mov,818,NA,
mn200219-98 video 36 GH,2023-04-18 14:57:32,,1793.608,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2020/mn200219-98/CATS LARS 98-20200219-183012-316-00036.mov,1794.343,28.446,,mother present,,other,,START,30.061,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2020/mn200219-98/CATS LARS 98-20200219-183012-316-00036.mov,856,NA,
mn200219-98 video 36 GH,2023-04-18 14:57:32,,1793.608,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2020/mn200219-98/CATS LARS 98-20200219-183012-316-00036.mov,1794.343,28.446,,mother present,,other,,STOP,85.235,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2020/mn200219-98/CATS LARS 98-20200219-183012-316-00036.mov,2426,NA,
mn200219-98 video 36 GH,2023-04-18 14:57:32,,1793.608,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2020/mn200219-98/CATS LARS 98-20200219-183012-316-00036.mov,1794.343,28.446,,breath,,cannot see blowholes,,POINT,96.390,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2020/mn200219-98/CATS LARS 98-20200219-183012-316-00036.mov,2743,NA,
mn200219-98 video 36 GH,2023-04-18 14:57:32,,1793.608,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2020/mn200219-98/CATS LARS 98-20200219-183012-316-00036.mov,1794.343,28.446,,breath,,cannot see blowholes,,POINT,119.001,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2020/mn200219-98/CATS LARS 98-20200219-183012-316-00036.mov,3386,NA,
mn200219-98 video 36 GH,2023-04-18 14:57:32,,1793.608,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2020/mn200219-98/CATS LARS 98-20200219-183012-316-00036.mov,1794.343,28.446,,mother present,,other,,START,124.579,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2020/mn200219-98/CATS LARS 98-20200219-183012-316-00036.mov,3545,NA,
mn200219-98 video 36 GH,2023-04-18 14:57:32,,1793.608,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2020/mn200219-98/CATS LARS 98-20200219-183012-316-00036.mov,1794.343,28.446,,mother present,,other,,STOP,146.121,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2020/mn200219-98/CATS LARS 98-20200219-183012-316-00036.mov,4158,NA,
