Observation id,Observation date,Description,Observation duration,Observation type,Source,Media duration (s),FPS,Subject,Behavior,Behavioral category,Modifier #1,Modifier #2,Behavior type,Time,Media file name,Image index,Image file path,Comment
mn220208-93 video 6 GH,2023-03-23 22:14:57,,574.037,Media file(s),player #1:C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-112144-000-00006.mov,574.000,30.000,,Tag position,,left flipper,directly facing rostrum,POINT,0.000,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-112144-000-00006.mov,1,NA,
mn220208-93 video 6 GH,2023-03-23 22:14:57,,574.037,Media file(s),player #1:C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-112144-000-00006.mov,574.000,30.000,,mother present,,ventral side,,START,0.000,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-112144-000-00006.mov,1,NA,
mn220208-93 video 6 GH,2023-03-23 22:14:57,,574.037,Media file(s),player #1:C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-112144-000-00006.mov,574.000,30.000,,fish present,,no visible particulates,swimming close to the whale. unsure if feeding,POINT,0.133,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-112144-000-00006.mov,5,NA,
mn220208-93 video 6 GH,2023-03-23 22:14:57,,574.037,Media file(s),player #1:C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-112144-000-00006.mov,574.000,30.000,,rest,,water column,,START,3.267,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-112144-000-00006.mov,99,NA,
mn220208-93 video 6 GH,2023-03-23 22:14:57,,574.037,Media file(s),player #1:C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-112144-000-00006.mov,574.000,30.000,,fish present,,skin,taking food into their mouths,POINT,29.467,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-112144-000-00006.mov,885,NA,
mn220208-93 video 6 GH,2023-03-23 22:14:57,,574.037,Media file(s),player #1:C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-112144-000-00006.mov,574.000,30.000,,mother present,,ventral side,,STOP,71.300,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-112144-000-00006.mov,2140,NA,
mn220208-93 video 6 GH,2023-03-23 22:14:57,,574.037,Media file(s),player #1:C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-112144-000-00006.mov,574.000,30.000,,breath,,cannot see blowholes,,POINT,86.000,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-112144-000-00006.mov,2581,NA,
mn220208-93 video 6 GH,2023-03-23 22:14:57,,574.037,Media file(s),player #1:C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-112144-000-00006.mov,574.000,30.000,,3rd whale present,,,,START,91.767,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-112144-000-00006.mov,2755,NA,
mn220208-93 video 6 GH,2023-03-23 22:14:57,,574.037,Media file(s),player #1:C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-112144-000-00006.mov,574.000,30.000,,3rd whale present,,,,STOP,96.100,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-112144-000-00006.mov,2884,NA,
mn220208-93 video 6 GH,2023-03-23 22:14:57,,574.037,Media file(s),player #1:C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-112144-000-00006.mov,574.000,30.000,,mother present,,other,,START,97.667,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-112144-000-00006.mov,2931,NA,
