Observation id,Observation date,Description,Observation duration,Observation type,Source,Media duration (s),FPS,Subject,Behavior,Behavioral category,Modifier #1,Modifier #2,Behavior type,Time,Media file name,Image index,Image file path,Comment
mn220208-93 video 31 TR,2023-04-03 14:22:42,,567.635,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,573.000,30.000,,Tag position,,unsure,unknown,POINT,5.400,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,163,NA,
mn220208-93 video 31 TR,2023-04-03 14:22:42,,567.635,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,573.000,30.000,,mother present,,other,,START,29.800,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,895,NA,
mn220208-93 video 31 TR,2023-04-03 14:22:42,,567.635,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,573.000,30.000,,rest,,surface,,START,44.500,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,1336,NA,
mn220208-93 video 31 TR,2023-04-03 14:22:42,,567.635,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,573.000,30.000,,breath,,cannot see blowholes,,POINT,49.467,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,1485,NA,
mn220208-93 video 31 TR,2023-04-03 14:22:42,,567.635,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,573.000,30.000,,mother present,,other,,STOP,52.167,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,1566,NA,
mn220208-93 video 31 TR,2023-04-03 14:22:42,,567.635,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,573.000,30.000,,breath,,cannot see blowholes,,POINT,67.167,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,2016,NA,
mn220208-93 video 31 TR,2023-04-03 14:22:42,,567.635,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,573.000,30.000,,mother present,,other,,START,73.367,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,2202,NA,
mn220208-93 video 31 TR,2023-04-03 14:22:42,,567.635,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,573.000,30.000,,breath,,cannot see blowholes,,POINT,118.133,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,3545,NA,
mn220208-93 video 31 TR,2023-04-03 14:22:42,,567.635,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,573.000,30.000,,breath,,cannot see blowholes,,POINT,132.567,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,3978,NA,
mn220208-93 video 31 TR,2023-04-03 14:22:42,,567.635,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,573.000,30.000,,mother present,,other,,STOP,134.400,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,4033,NA,
mn220208-93 video 31 TR,2023-04-03 14:22:42,,567.635,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,573.000,30.000,,mother present,,other,,START,152.500,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,4576,NA,
mn220208-93 video 31 TR,2023-04-03 14:22:42,,567.635,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,573.000,30.000,,mother present,,other,,STOP,159.232,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,NA,NA,
mn220208-93 video 31 TR,2023-04-03 14:22:42,,567.635,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,573.000,30.000,,mother present,,ventral side,,START,159.233,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,4778,NA,
mn220208-93 video 31 TR,2023-04-03 14:22:42,,567.635,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,573.000,30.000,,mother present,,ventral side,,STOP,166.833,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,5006,NA,
mn220208-93 video 31 TR,2023-04-03 14:22:42,,567.635,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,573.000,30.000,,rest,,surface,,STOP,176.866,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,NA,NA,
mn220208-93 video 31 TR,2023-04-03 14:22:42,,567.635,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,573.000,30.000,,rest,,water column,,START,176.867,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,5307,NA,
mn220208-93 video 31 TR,2023-04-03 14:22:42,,567.635,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,573.000,30.000,,breath,,cannot see blowholes,,POINT,185.800,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,5575,NA,
mn220208-93 video 31 TR,2023-04-03 14:22:42,,567.635,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,573.000,30.000,,mother present,,other,,START,217.500,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,6526,NA,
mn220208-93 video 31 TR,2023-04-03 14:22:42,,567.635,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,573.000,30.000,,mother present,,other,,STOP,225.100,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,6754,NA,
mn220208-93 video 31 TR,2023-04-03 14:22:42,,567.635,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,573.000,30.000,,breath,,cannot see blowholes,,POINT,230.867,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,6927,NA,
mn220208-93 video 31 TR,2023-04-03 14:22:42,,567.635,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,573.000,30.000,,mother present,,other,,START,243.300,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,7300,NA,
mn220208-93 video 31 TR,2023-04-03 14:22:42,,567.635,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,573.000,30.000,,mother present,,other,,STOP,254.233,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,7628,NA,
mn220208-93 video 31 TR,2023-04-03 14:22:42,,567.635,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,573.000,30.000,,breath,,cannot see blowholes,,POINT,278.833,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,8366,NA,
mn220208-93 video 31 TR,2023-04-03 14:22:42,,567.635,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,573.000,30.000,,seafloor,,,,POINT,397.033,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,11912,NA,
mn220208-93 video 31 TR,2023-04-03 14:22:42,,567.635,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,573.000,30.000,,breath,,cannot see blowholes,,POINT,437.800,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,13135,NA,
mn220208-93 video 31 TR,2023-04-03 14:22:42,,567.635,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,573.000,30.000,,breath,,cannot see blowholes,,POINT,452.433,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,13574,NA,
mn220208-93 video 31 TR,2023-04-03 14:22:42,,567.635,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,573.000,30.000,,rest,,water column,,STOP,460.932,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,NA,NA,
mn220208-93 video 31 TR,2023-04-03 14:22:42,,567.635,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,573.000,30.000,,rest,,surface,,START,460.933,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,13829,NA,
mn220208-93 video 31 TR,2023-04-03 14:22:42,,567.635,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,573.000,30.000,,rest,,surface,,STOP,464.932,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,NA,NA,
mn220208-93 video 31 TR,2023-04-03 14:22:42,,567.635,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,573.000,30.000,,rest,,water column,,START,464.933,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,13949,NA,
mn220208-93 video 31 TR,2023-04-03 14:22:42,,567.635,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,573.000,30.000,,mother present,,other,,START,509.533,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,15287,NA,
mn220208-93 video 31 TR,2023-04-03 14:22:42,,567.635,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,573.000,30.000,,mother present,,other,,STOP,512.733,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,15383,NA,
mn220208-93 video 31 TR,2023-04-03 14:22:42,,567.635,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,573.000,30.000,,mother present,,other,,START,518.400,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,15553,NA,
mn220208-93 video 31 TR,2023-04-03 14:22:42,,567.635,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,573.000,30.000,,mother present,,other,,STOP,523.100,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,15694,NA,
mn220208-93 video 31 TR,2023-04-03 14:22:42,,567.635,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,573.000,30.000,,mother present,,other,,START,530.100,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,15904,NA,
mn220208-93 video 31 TR,2023-04-03 14:22:42,,567.635,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,573.000,30.000,,mother present,,other,,STOP,548.367,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,16452,NA,
mn220208-93 video 31 TR,2023-04-03 14:22:42,,567.635,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,573.000,30.000,,breath,,cannot see blowholes,,POINT,558.867,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,16767,NA,
mn220208-93 video 31 TR,2023-04-03 14:22:42,,567.635,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,573.000,30.000,,breath,,cannot see blowholes,,POINT,567.667,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,17031,NA,
mn220208-93 video 31 TR,2023-04-03 14:22:42,,567.635,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220208-93/CATS 93-20220208-153728-000-00031.mov,573.000,30.000,,rest,,water column,,STOP,573.035,Not found,17191,NA,
