Observation id,Observation date,Description,Observation duration,Observation type,Source,Media duration (s),FPS,Subject,Behavior,Behavioral category,Modifier #1,Modifier #2,Behavior type,Time,Media file name,Image index,Image file path,Comment
mn220208-93 video 12 GH,2023-03-27 20:21:41,,574.037,Media file(s),player #1:C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-122310-000-00012.mov,574.000,30.000,,Tag position,,left flipper,directly facing rostrum,POINT,0.000,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-122310-000-00012.mov,1,NA,
mn220208-93 video 12 GH,2023-03-27 20:21:41,,574.037,Media file(s),player #1:C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-122310-000-00012.mov,574.000,30.000,,mother present,,ventral side,,START,15.833,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-122310-000-00012.mov,476,NA,
mn220208-93 video 12 GH,2023-03-27 20:21:41,,574.037,Media file(s),player #1:C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-122310-000-00012.mov,574.000,30.000,,travel,,water column,,START,45.600,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-122310-000-00012.mov,1369,NA,
mn220208-93 video 12 GH,2023-03-27 20:21:41,,574.037,Media file(s),player #1:C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-122310-000-00012.mov,574.000,30.000,,fish present,,no visible particulates,swimming close to the whale. unsure if feeding,POINT,46.900,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-122310-000-00012.mov,1408,NA,
mn220208-93 video 12 GH,2023-03-27 20:21:41,,574.037,Media file(s),player #1:C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-122310-000-00012.mov,574.000,30.000,,mother present,,ventral side,,STOP,136.599,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-122310-000-00012.mov,NA,NA,
mn220208-93 video 12 GH,2023-03-27 20:21:41,,574.037,Media file(s),player #1:C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-122310-000-00012.mov,574.000,30.000,,mother present,,other,,START,136.600,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-122310-000-00012.mov,4099,NA,
mn220208-93 video 12 GH,2023-03-27 20:21:41,,574.037,Media file(s),player #1:C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-122310-000-00012.mov,574.000,30.000,,breath,,cannot see blowholes,,POINT,149.233,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-122310-000-00012.mov,4478,NA,
mn220208-93 video 12 GH,2023-03-27 20:21:41,,574.037,Media file(s),player #1:C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-122310-000-00012.mov,574.000,30.000,,breath,,cannot see blowholes,,POINT,158.733,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-122310-000-00012.mov,4763,NA,
mn220208-93 video 12 GH,2023-03-27 20:21:41,,574.037,Media file(s),player #1:C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-122310-000-00012.mov,574.000,30.000,,mother present,,other,,STOP,167.366,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-122310-000-00012.mov,NA,NA,
mn220208-93 video 12 GH,2023-03-27 20:21:41,,574.037,Media file(s),player #1:C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-122310-000-00012.mov,574.000,30.000,,mother present,,ventral side,,START,167.367,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-122310-000-00012.mov,5022,NA,
mn220208-93 video 12 GH,2023-03-27 20:21:41,,574.037,Media file(s),player #1:C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-122310-000-00012.mov,574.000,30.000,,mother present,,ventral side,,STOP,177.266,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-122310-000-00012.mov,NA,NA,
mn220208-93 video 12 GH,2023-03-27 20:21:41,,574.037,Media file(s),player #1:C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-122310-000-00012.mov,574.000,30.000,,mother present,,other,,START,177.267,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-122310-000-00012.mov,5319,NA,
mn220208-93 video 12 GH,2023-03-27 20:21:41,,574.037,Media file(s),player #1:C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-122310-000-00012.mov,574.000,30.000,,breath,,cannot see blowholes,,POINT,180.167,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-122310-000-00012.mov,5406,NA,
mn220208-93 video 12 GH,2023-03-27 20:21:41,,574.037,Media file(s),player #1:C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-122310-000-00012.mov,574.000,30.000,,breath,,cannot see blowholes,,POINT,193.733,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-122310-000-00012.mov,5813,NA,
mn220208-93 video 12 GH,2023-03-27 20:21:41,,574.037,Media file(s),player #1:C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-122310-000-00012.mov,574.000,30.000,,breath,,cannot see blowholes,,POINT,211.133,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-122310-000-00012.mov,6335,NA,
