ID,rel_length,hour,avg_speed,mrl,msa,max_depth
mn200219-55,40.63,8,1.02636334271424,0.782624156424063,3.47211651856304,10.8353440562852
mn200219-55,40.63,8,1.00282454403883,0.802808298120546,3.42394378924384,12.4707341767785
mn200219-55,40.63,8,0.631143776722087,0.668551803320142,3.3444537207232,11.3030073322327
mn200219-55,40.63,8,1.12838291148889,0.842268337469091,3.52995498377021,21.7233006731544
mn200219-55,40.63,8,1.41642820984233,0.954753578535127,4.89813042746999,24.9111925542082
mn200219-55,40.63,9,1.12870007273844,0.916506306921131,5.55334058429907,25.4509450565564
mn200219-55,40.63,9,0.909436702700812,0.696696209602857,3.6522560634152,17.1323873585202
mn200219-55,40.63,9,0.737676256629739,0.632193098135153,3.8685473056456,12.7738617753185
mn200219-55,40.63,9,0.633078935060937,0.609774415793881,3.7043136127991,13.5762214414349
mn200219-55,40.63,9,0.738016665084384,0.877867849894741,3.56350518073321,13.5094799118603
mn200219-55,40.63,9,0.701594141648548,0.761374785582789,3.96408506798807,12.3887262620238
mn200219-55,40.63,9,0.65663771368713,0.567281203771623,3.97580861787091,14.914783226286
mn200219-55,40.63,9,0.625584102517316,0.982036858828583,3.95862015722974,13.2761857653377
mn200219-55,40.63,9,0.631169398223197,0.801518678399298,3.70209288975121,17.6468001015681
mn200219-55,40.63,9,1.85057408649119,0.923364559987746,10.3676157195193,17.4114198383805
mn200219-55,40.63,9,1.59558613229176,0.720186029994988,6.70107223301501,18.094915288862
mn200219-55,40.63,9,0.85963067013476,0.794872864458686,2.95751225915268,14.4067137519902
mn200219-55,40.63,10,0.612296208060742,0.615317842512884,1.70742355947021,17.8077164433041
mn200219-55,40.63,10,0.630677784933978,0.48787724485776,1.52981063384226,17.3805751867543
mn200219-55,40.63,10,0.673767842107001,0.517906268443276,2.60360533937617,15.4322497506273
mn200219-55,40.63,10,0.708477044165897,0.695148435434429,3.10940029340795,17.4278995626534
mn200219-55,40.63,10,0.632750331297577,0.576356493094695,3.13118628010696,15.7917463961077
mn200219-55,40.63,10,0.856681902975326,0.74807931665348,2.60824707763867,24.6662062923755
mn200219-55,40.63,10,0.818959759801781,0.430775221146403,2.27824474547703,18.9034568494621
mn200219-55,40.63,10,0.79535290617693,0.338003205847437,2.37768830282023,20.4288018298892
mn200219-55,40.63,10,0.717885441921853,0.589530961229427,2.50155948622068,19.6134620801573
mn200219-55,40.63,10,0.631350523105525,0.739650988478099,3.11199001420398,14.7517055518624
mn200219-55,40.63,10,0.611565728010024,0.482548354049314,3.30808166991005,14.4484537676713
mn200219-55,40.63,10,0.640922432481108,0.868736220225007,3.87374276195648,12.0841707191899
mn200219-55,40.63,11,0.583472447401852,0.826238243237453,3.71461826068319,12.5455134643109
mn200219-55,40.63,11,1.24149196297374,0.725733824242637,5.59908375457093,18.5197776544957
mn200219-55,40.63,11,0.697234166903496,0.770315834504768,2.16286194980771,18.0435445516083
mn200219-55,40.63,11,0.833591009496426,0.908673003022079,4.07843508541189,20.1218798788271
mn200219-55,40.63,11,1.14192961300605,0.869300745137527,4.95959477305778,16.8950085822305
mn200219-55,40.63,11,0.686204667669589,0.626660150566409,2.61294055936905,17.4227113071411
mn200219-55,40.63,11,0.751905548050722,0.523399098089628,3.23155214871506,15.9020591987995
mn200219-55,40.63,11,0.61097996067461,0.500207045588818,3.54240450851074,16.9045605699817
mn200219-55,40.63,11,0.765338429100316,0.439004882917062,2.03768082141967,14.725230041522
mn200219-55,40.63,11,0.688595127696848,0.452676837521057,2.96892708939992,17.5121731294514
mn200219-55,40.63,11,0.65167138338253,0.40135800541442,2.79015685757354,16.8856782385157
mn200219-55,40.63,12,0.797586800229517,0.47450119977827,2.23293835382904,19.0529600992742
mn200219-55,40.63,12,0.797953431537752,0.610867016971858,2.8290674754698,18.7898452002369
mn200219-55,40.63,12,0.67217452124218,0.473364671906036,3.8194865393834,16.338398703371
mn200219-55,40.63,12,0.766951108320108,0.953674316623372,2.78242502735695,8.42534471166493
mn200219-55,40.63,12,0.833154320566055,0.990497901936721,2.88391451933312,1.28905562816761
mn200219-55,40.63,12,0.790658439547563,0.946377280295837,2.94923564442059,2.56895421240449
mn200219-55,40.63,12,0.938381185118196,0.923215418813534,2.72379298482421,37.8769563372607
mn200219-55,40.63,12,0.970912825878468,0.95052954370132,2.33256553598631,34.7942559783546
mn200219-55,40.63,12,1.77436609861426,0.948559311732901,8.9094488805966,38.5961655756728
mn200219-55,40.63,12,1.58152417719725,0.903309087205136,6.75886075015884,68.7426444346389
mn200219-55,40.63,12,1.09610535548218,0.917690515848547,3.46853193210463,60.2851803264729
mn200219-55,40.63,12,0.677544120502959,0.77113334743115,2.944456109367,14.2189006422771
mn200219-55,40.63,13,0.807740683589754,0.516623488413263,3.30065486654276,19.4714843094533
mn200219-55,40.63,13,0.724000135382258,0.774418245437027,2.54612439104671,21.1322720590024
mn200219-55,40.63,13,0.803990035334414,0.946742773062865,2.54420974906695,18.5074736108737
mn200219-55,40.63,13,0.651397723423342,0.816409897078923,3.26596970688178,12.7286285604
mn200219-55,40.63,13,0.6986098480431,0.247126954705438,3.13613273887875,16.5037350909175
mn200219-55,40.63,13,1.05680470110133,0.767615751757181,3.04870518755416,18.3877955079196
mn200219-55,40.63,13,1.25428249067969,0.646850836817123,6.04781331078254,14.0430609303426
