Observation id,Observation date,Description,Observation duration,Observation type,Source,Media duration (s),FPS,Subject,Behavior,Behavioral category,Modifier #1,Modifier #2,Behavior type,Time,Media file name,Image index,Image file path,Comment
mn220208-99 video 16 GH,2023-03-23 09:46:59,,1347.509,Media file(s),player #1:C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-99/raw/CATS Lars 99-20220208-132301-142-00016.mov,1751.358,29.917,,Tag position,,head or rostrum,directly facing rostrum,POINT,1.005,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-99/raw/CATS Lars 99-20220208-132301-142-00016.mov,30,NA,
mn220208-99 video 16 GH,2023-03-23 09:46:59,,1347.509,Media file(s),player #1:C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-99/raw/CATS Lars 99-20220208-132301-142-00016.mov,1751.358,29.917,,mother present,,other,,START,1.840,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-99/raw/CATS Lars 99-20220208-132301-142-00016.mov,53,NA,
mn220208-99 video 16 GH,2023-03-23 09:46:59,,1347.509,Media file(s),player #1:C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-99/raw/CATS Lars 99-20220208-132301-142-00016.mov,1751.358,29.917,,breath,,cannot see blowholes,,POINT,6.683,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-99/raw/CATS Lars 99-20220208-132301-142-00016.mov,191,NA,
mn220208-99 video 16 GH,2023-03-23 09:46:59,,1347.509,Media file(s),player #1:C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-99/raw/CATS Lars 99-20220208-132301-142-00016.mov,1751.358,29.917,,breath,,see blowholes,,POINT,10.826,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-99/raw/CATS Lars 99-20220208-132301-142-00016.mov,309,NA,
mn220208-99 video 16 GH,2023-03-23 09:46:59,,1347.509,Media file(s),player #1:C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-99/raw/CATS Lars 99-20220208-132301-142-00016.mov,1751.358,29.917,,breath,,cannot see blowholes,,POINT,16.469,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-99/raw/CATS Lars 99-20220208-132301-142-00016.mov,470,NA,
mn220208-99 video 16 GH,2023-03-23 09:46:59,,1347.509,Media file(s),player #1:C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-99/raw/CATS Lars 99-20220208-132301-142-00016.mov,1751.358,29.917,,mother present,,other,,STOP,31.733,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-99/raw/CATS Lars 99-20220208-132301-142-00016.mov,904,NA,
mn220208-99 video 16 GH,2023-03-23 09:46:59,,1347.509,Media file(s),player #1:C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-99/raw/CATS Lars 99-20220208-132301-142-00016.mov,1751.358,29.917,,mother present,,other,,START,33.736,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-99/raw/CATS Lars 99-20220208-132301-142-00016.mov,961,NA,
mn220208-99 video 16 GH,2023-03-23 09:46:59,,1347.509,Media file(s),player #1:C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-99/raw/CATS Lars 99-20220208-132301-142-00016.mov,1751.358,29.917,,breath,,cannot see blowholes,,POINT,47.397,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-99/raw/CATS Lars 99-20220208-132301-142-00016.mov,1350,NA,
mn220208-99 video 16 GH,2023-03-23 09:46:59,,1347.509,Media file(s),player #1:C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-99/raw/CATS Lars 99-20220208-132301-142-00016.mov,1751.358,29.917,,breath,,cannot see blowholes,,POINT,89.346,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-99/raw/CATS Lars 99-20220208-132301-142-00016.mov,2544,NA,
mn220208-99 video 16 GH,2023-03-23 09:46:59,,1347.509,Media file(s),player #1:C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-99/raw/CATS Lars 99-20220208-132301-142-00016.mov,1751.358,29.917,,breath,,cannot see blowholes,,POINT,104.208,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-99/raw/CATS Lars 99-20220208-132301-142-00016.mov,2967,NA,
