Observation id,Observation date,Description,Observation duration,Observation type,Source,Media duration (s),FPS,Subject,Behavior,Behavioral category,Modifier #1,Modifier #2,Behavior type,Time,Media file name,Image index,Image file path,Comment
mn220208-99 video 6 GH,2023-03-17 12:44:17,,1758.969,Media file(s),player #1:C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-99/raw/CATS Lars 99-20220208-110655-161-00006.mov,1761.549,30.000,,Tag position,,head or rostrum,directly facing rostrum,POINT,2.578,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-99/raw/CATS Lars 99-20220208-110655-161-00006.mov,74,NA,
mn220208-99 video 6 GH,2023-03-17 12:44:17,,1758.969,Media file(s),player #1:C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-99/raw/CATS Lars 99-20220208-110655-161-00006.mov,1761.549,30.000,,mother present,,other,,START,4.081,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-99/raw/CATS Lars 99-20220208-110655-161-00006.mov,117,NA,
mn220208-99 video 6 GH,2023-03-17 12:44:17,,1758.969,Media file(s),player #1:C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-99/raw/CATS Lars 99-20220208-110655-161-00006.mov,1761.549,30.000,,rest,,water column,,START,12.363,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-99/raw/CATS Lars 99-20220208-110655-161-00006.mov,353,NA,
mn220208-99 video 6 GH,2023-03-17 12:44:17,,1758.969,Media file(s),player #1:C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-99/raw/CATS Lars 99-20220208-110655-161-00006.mov,1761.549,30.000,,breath,,cannot see blowholes,,POINT,51.674,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-99/raw/CATS Lars 99-20220208-110655-161-00006.mov,1472,NA,
mn220208-99 video 6 GH,2023-03-17 12:44:17,,1758.969,Media file(s),player #1:C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-99/raw/CATS Lars 99-20220208-110655-161-00006.mov,1761.549,30.000,,mother present,,other,,STOP,58.053,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-99/raw/CATS Lars 99-20220208-110655-161-00006.mov,1655,NA,
mn220208-99 video 6 GH,2023-03-17 12:44:17,,1758.969,Media file(s),player #1:C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-99/raw/CATS Lars 99-20220208-110655-161-00006.mov,1761.549,30.000,,breath,,cannot see blowholes,,POINT,60.759,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-99/raw/CATS Lars 99-20220208-110655-161-00006.mov,1730,NA,
mn220208-99 video 6 GH,2023-03-17 12:44:17,,1758.969,Media file(s),player #1:C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-99/raw/CATS Lars 99-20220208-110655-161-00006.mov,1761.549,30.000,,breath,,cannot see blowholes,,POINT,69.409,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-99/raw/CATS Lars 99-20220208-110655-161-00006.mov,1976,NA,
mn220208-99 video 6 GH,2023-03-17 12:44:17,,1758.969,Media file(s),player #1:C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-99/raw/CATS Lars 99-20220208-110655-161-00006.mov,1761.549,30.000,,mother present,,other,,START,73.383,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-99/raw/CATS Lars 99-20220208-110655-161-00006.mov,2089,NA,
mn220208-99 video 6 GH,2023-03-17 12:44:17,,1758.969,Media file(s),player #1:C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-99/raw/CATS Lars 99-20220208-110655-161-00006.mov,1761.549,30.000,,breath,,cannot see blowholes,,POINT,77.625,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-99/raw/CATS Lars 99-20220208-110655-161-00006.mov,2210,NA,
mn220208-99 video 6 GH,2023-03-17 12:44:17,,1758.969,Media file(s),player #1:C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-99/raw/CATS Lars 99-20220208-110655-161-00006.mov,1761.549,30.000,,breath,,cannot see blowholes,,POINT,91.753,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-99/raw/CATS Lars 99-20220208-110655-161-00006.mov,2612,NA,
mn220208-99 video 6 GH,2023-03-17 12:44:17,,1758.969,Media file(s),player #1:C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-99/raw/CATS Lars 99-20220208-110655-161-00006.mov,1761.549,30.000,,mother present,,other,,STOP,108.450,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-99/raw/CATS Lars 99-20220208-110655-161-00006.mov,NA,NA,
mn220208-99 video 6 GH,2023-03-17 12:44:17,,1758.969,Media file(s),player #1:C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-99/raw/CATS Lars 99-20220208-110655-161-00006.mov,1761.549,30.000,,mother present,,ventral side,,START,108.451,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-99/raw/CATS Lars 99-20220208-110655-161-00006.mov,3087,NA,
mn220208-99 video 6 GH,2023-03-17 12:44:17,,1758.969,Media file(s),player #1:C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-99/raw/CATS Lars 99-20220208-110655-161-00006.mov,1761.549,30.000,,mother present,,ventral side,,STOP,115.198,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-99/raw/CATS Lars 99-20220208-110655-161-00006.mov,NA,NA,
mn220208-99 video 6 GH,2023-03-17 12:44:17,,1758.969,Media file(s),player #1:C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-99/raw/CATS Lars 99-20220208-110655-161-00006.mov,1761.549,30.000,,mother present,,other,,START,115.199,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-99/raw/CATS Lars 99-20220208-110655-161-00006.mov,3279,NA,
mn220208-99 video 6 GH,2023-03-17 12:44:17,,1758.969,Media file(s),player #1:C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-99/raw/CATS Lars 99-20220208-110655-161-00006.mov,1761.549,30.000,,breath,,cannot see blowholes,,POINT,118.839,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-99/raw/CATS Lars 99-20220208-110655-161-00006.mov,3383,NA,
mn220208-99 video 6 GH,2023-03-17 12:44:17,,1758.969,Media file(s),player #1:C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-99/raw/CATS Lars 99-20220208-110655-161-00006.mov,1761.549,30.000,,mother present,,other,,STOP,128.623,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-99/raw/CATS Lars 99-20220208-110655-161-00006.mov,NA,NA,
mn220208-99 video 6 GH,2023-03-17 12:44:17,,1758.969,Media file(s),player #1:C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-99/raw/CATS Lars 99-20220208-110655-161-00006.mov,1761.549,30.000,,mother present,,ventral side,,START,128.624,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-99/raw/CATS Lars 99-20220208-110655-161-00006.mov,3661,NA,
mn220208-99 video 6 GH,2023-03-17 12:44:17,,1758.969,Media file(s),player #1:C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-99/raw/CATS Lars 99-20220208-110655-161-00006.mov,1761.549,30.000,,mother present,,ventral side,,STOP,139.980,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-99/raw/CATS Lars 99-20220208-110655-161-00006.mov,NA,NA,
mn220208-99 video 6 GH,2023-03-17 12:44:17,,1758.969,Media file(s),player #1:C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-99/raw/CATS Lars 99-20220208-110655-161-00006.mov,1761.549,30.000,,mother present,,other,,START,139.981,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-99/raw/CATS Lars 99-20220208-110655-161-00006.mov,3985,NA,
