Observation id,Observation date,Description,Observation duration,Observation type,Source,Media duration (s),FPS,Subject,Behavior,Behavioral category,Modifier #1,Behavior type,Time,Media file name,Image index,Image file path,Comment
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,mother present,,None,START,414.800,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,12445,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,breath,,see blowholes,POINT,427.067,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,12814,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,breath,,see blowholes,POINT,444.000,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,13321,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,3rd whale present,,,START,449.600,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,13489,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,breath,,see blowholes,POINT,453.200,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,13597,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,3rd whale present,,,STOP,460.967,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,13830,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,breath,,see blowholes,POINT,478.167,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,14346,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,mother present,,None,STOP,481.199,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,NA,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,mother present,,other,START,481.200,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,14437,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,breath,,see blowholes,POINT,485.867,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,14577,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,mother present,,other,STOP,496.366,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,NA,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,mother present,,None,START,496.367,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,14892,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,breath,,see blowholes,POINT,499.633,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,14991,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,breath,,cannot see blowholes,POINT,509.933,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,15299,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,3rd whale present,,,START,513.200,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,15397,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,3rd whale present,,,STOP,517.867,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,15537,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,breath,,see blowholes,POINT,520.067,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,15603,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,3rd whale present,,,START,522.333,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,15671,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,3rd whale present,,,STOP,527.267,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,15819,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,breath,,see blowholes,POINT,528.233,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,15848,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,mother present,,None,STOP,545.232,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,NA,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,mother present,,other,START,545.233,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,16358,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,breath,,see blowholes,POINT,549.967,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,16500,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,mother present,,other,STOP,552.966,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,NA,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,mother present,,None,START,552.967,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,16590,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,breath,,see blowholes,POINT,569.533,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,17087,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,breath,,see blowholes,POINT,583.000,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,17491,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,mother present,,None,STOP,583.531,Not found,17506,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,travel,,surface,STOP,583.531,Not found,17506,NA,
