Observation id,Observation date,Description,Observation duration,Observation type,Source,Media duration (s),FPS,Subject,Behavior,Behavioral category,Modifier #1,Modifier #2,Behavior type,Time,Media file name,Image index,Image file path,Comment
mn220201-88 video 8 TR,2023-03-24 13:08:45,,577.764,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-092440-000-00008.mov,583.500,30.000,,Tag position,,head or rostrum,directly facing rostrum,POINT,5.767,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-092440-000-00008.mov,174,NA,
mn220201-88 video 8 TR,2023-03-24 13:08:45,,577.764,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-092440-000-00008.mov,583.500,30.000,,mother present,,other,,START,6.933,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-092440-000-00008.mov,209,NA,
mn220201-88 video 8 TR,2023-03-24 13:08:45,,577.764,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-092440-000-00008.mov,583.500,30.000,,travel,,water column,,START,9.933,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-092440-000-00008.mov,299,NA,
mn220201-88 video 8 TR,2023-03-24 13:08:45,,577.764,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-092440-000-00008.mov,583.500,30.000,,breath,,cannot see blowholes,,POINT,17.867,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-092440-000-00008.mov,537,NA,
mn220201-88 video 8 TR,2023-03-24 13:08:45,,577.764,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-092440-000-00008.mov,583.500,30.000,,mother present,,other,,STOP,30.200,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-092440-000-00008.mov,907,NA,
mn220201-88 video 8 TR,2023-03-24 13:08:45,,577.764,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-092440-000-00008.mov,583.500,30.000,,mother present,,ventral side,,START,35.733,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-092440-000-00008.mov,1074,NA,
mn220201-88 video 8 TR,2023-03-24 13:08:45,,577.764,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-092440-000-00008.mov,583.500,30.000,,nursing,,definite mammary slits and milk visible,directly under,START,39.200,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-092440-000-00008.mov,1177,NA,
mn220201-88 video 8 TR,2023-03-24 13:08:45,,577.764,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-092440-000-00008.mov,583.500,30.000,,nursing,,definite mammary slits and milk visible,directly under,STOP,42.367,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-092440-000-00008.mov,1272,NA,
mn220201-88 video 8 TR,2023-03-24 13:08:45,,577.764,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-092440-000-00008.mov,583.500,30.000,,mother present,,ventral side,,STOP,46.032,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-092440-000-00008.mov,NA,NA,
mn220201-88 video 8 TR,2023-03-24 13:08:45,,577.764,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-092440-000-00008.mov,583.500,30.000,,breath,,cannot see blowholes,,POINT,50.100,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-092440-000-00008.mov,1504,NA,
mn220201-88 video 8 TR,2023-03-24 13:08:45,,577.764,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-092440-000-00008.mov,583.500,30.000,,mother present,,other,,START,51.867,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-092440-000-00008.mov,1557,NA,
mn220201-88 video 8 TR,2023-03-24 13:08:45,,577.764,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-092440-000-00008.mov,583.500,30.000,,mother present,,other,,STOP,57.967,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-092440-000-00008.mov,1740,NA,
mn220201-88 video 8 TR,2023-03-24 13:08:45,,577.764,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-092440-000-00008.mov,583.500,30.000,,mother present,,ventral side,,START,68.067,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-092440-000-00008.mov,2043,NA,
mn220201-88 video 8 TR,2023-03-24 13:08:45,,577.764,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-092440-000-00008.mov,583.500,30.000,,mother present,,ventral side,,STOP,83.432,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-092440-000-00008.mov,NA,NA,
mn220201-88 video 8 TR,2023-03-24 13:08:45,,577.764,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-092440-000-00008.mov,583.500,30.000,,mother present,,other,,START,83.433,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-092440-000-00008.mov,2504,NA,
mn220201-88 video 8 TR,2023-03-24 13:08:45,,577.764,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-092440-000-00008.mov,583.500,30.000,,breath,,cannot see blowholes,,POINT,88.200,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-092440-000-00008.mov,2647,NA,
mn220201-88 video 8 TR,2023-03-24 13:08:45,,577.764,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-092440-000-00008.mov,583.500,30.000,,breath,,cannot see blowholes,,POINT,104.033,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-092440-000-00008.mov,3122,NA,
mn220201-88 video 8 TR,2023-03-24 13:08:45,,577.764,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-092440-000-00008.mov,583.500,30.000,,mother present,,other,,STOP,107.267,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-092440-000-00008.mov,3219,NA,
mn220201-88 video 8 TR,2023-03-24 13:08:45,,577.764,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-092440-000-00008.mov,583.500,30.000,,mother present,,ventral side,,START,113.567,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-092440-000-00008.mov,3408,NA,
mn220201-88 video 8 TR,2023-03-24 13:08:45,,577.764,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-092440-000-00008.mov,583.500,30.000,,nursing,,unknown,right,START,117.400,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-092440-000-00008.mov,3523,NA,
mn220201-88 video 8 TR,2023-03-24 13:08:45,,577.764,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-092440-000-00008.mov,583.500,30.000,,nursing,,unknown,right,STOP,126.467,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-092440-000-00008.mov,3795,NA,
mn220201-88 video 8 TR,2023-03-24 13:08:45,,577.764,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-092440-000-00008.mov,583.500,30.000,,Tag position,,right flipper,facing to the right of rostrum,POINT,143.100,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-092440-000-00008.mov,4294,NA,
mn220201-88 video 8 TR,2023-03-24 13:08:45,,577.764,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-092440-000-00008.mov,583.500,30.000,,mother present,,ventral side,,STOP,146.099,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-092440-000-00008.mov,NA,NA,
mn220201-88 video 8 TR,2023-03-24 13:08:45,,577.764,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-092440-000-00008.mov,583.500,30.000,,mother present,,other,,START,146.100,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-092440-000-00008.mov,4384,NA,
mn220201-88 video 8 TR,2023-03-24 13:08:45,,577.764,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-092440-000-00008.mov,583.500,30.000,,mother present,,other,,STOP,162.567,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-092440-000-00008.mov,4878,NA,
mn220201-88 video 8 TR,2023-03-24 13:08:45,,577.764,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-092440-000-00008.mov,583.500,30.000,,mother present,,other,,START,179.300,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-092440-000-00008.mov,5380,NA,
mn220201-88 video 8 TR,2023-03-24 13:08:45,,577.764,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-092440-000-00008.mov,583.500,30.000,,breath,,cannot see blowholes,,POINT,216.300,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-092440-000-00008.mov,6491,NA,
